Text,KM,Ano,Valor
HYUNDAI CRETA 1.6 16V FLEX ACTION AUTOMÁTICO,KM 19300,2021/2021,"R$ 93.900,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX TRACK 4P MANUAL,KM 94890,2017/2018,"R$ 55.900,00"
CHEVROLET S10 2.8 LTZ 4X4 CD 16V TURBO DIESEL 4P AUTOMÁTICO,KM 77890,2019/2019,"R$ 196.900,00"
FIAT TORO 2.0 16V TURBO DIESEL ULTRA 4WD AT9,KM 44500,2019/2020,"R$ 166.900,00"
FORD KA SEDAN 1.5 SE PLUS 16V FLEX 4P MANUAL,KM 62085,2014/2015,"R$ 49.900,00"
VOLKSWAGEN JETTA 2.0 TSI HIGHLINE 211CV GASOLINA 4P TIPTRONIC,KM 118700,2016/2016,"R$ 96.900,00"
RENAULT SANDERO 1.0 12V SCE FLEX AUTHENTIQUE MANUAL,KM 74214,2017/2018,"R$ 47.900,00"
HYUNDAI HB20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,KM 59714,2018/2018,"R$ 58.900,00"
HYUNDAI CRETA 2.0 16V FLEX PRESTIGE AUTOMÁTICO,KM 56407,2017/2017,"R$ 97.900,00"
VOLKSWAGEN VIRTUS 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 25850,2021/2022,"R$ 106.900,00"
VOLKSWAGEN VIRTUS 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 20950,2020/2021,"R$ 96.900,00"
CITROEN C4 CACTUS 1.6 VTI 120 FLEX FEEL EAT6,KM 15600,2021/2022,"R$ 99.900,00"
NISSAN KICKS 1.6 16V FLEXSTART SV 4P XTRONIC,KM 44590,2019/2020,"R$ 94.900,00"
AUDI Q3 1.4 TFSI AMBIENTE FLEX 4P S TRONIC,KM 52870,2018/2018,"R$ 139.900,00"
VOLKSWAGEN FOX 1.6 MSI TOTAL FLEX CONNECT 4P I-MOTION,KM 38107,2018/2019,"R$ 64.900,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX 4P MANUAL,KM 79873,2018/2019,"R$ 58.900,00"
CHEVROLET CRUZE 1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO,KM 48000,2018/2019,"R$ 109.900,00"
