Text,KM,Ano,Valor
NISSAN FRONTIER 2.3 16V TURBO DIESEL S CD 4X4 MANUAL,KM 47000,2019/2020,"R$ 163.700,00"
VOLKSWAGEN UP 1.0 170 TSI TOTAL FLEX CONNECT 4P MANUAL,KM 49850,2019/2020,"R$ 74.900,00"
RENAULT DUSTER 1.6 16V SCE FLEX DYNAMIQUE X-TRONIC,KM 82900,2018/2019,"R$ 79.900,00"
NISSAN KICKS 1.6 16V FLEXSTART SENSE XTRONIC,KM 26006,2021/2022,"R$ 114.900,00"
BMW X1 2.0 16V TURBO ACTIVEFLEX SDRIVE20I 4P AUTOMÁTICO,KM 97942,2016/2016,"R$ 138.900,00"
FIAT UNO 1.0 FIRE FLEX ATTRACTIVE MANUAL,KM 78468,2020/2020,"R$ 56.900,00"
CITROEN C4 CACTUS 1.6 THP FLEX SHINE EAT6,KM 45469,2018/2019,"R$ 95.900,00"
HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,KM 82068,2019/2019,"R$ 70.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMÁTICO,KM 33128,2020/2021,"R$ 122.900,00"
VOLKSWAGEN VIRTUS 1.0 200 TSI HIGHLINE AUTOMÁTICO,KM 52500,2020/2021,"R$ 104.990,00"
CHEVROLET ONIX 1.0 MPFI JOY 8V FLEX 4P MANUAL,KM 99259,2017/2017,"R$ 55.900,00"
HYUNDAI HB20 1.6 COMFORT PLUS 16V FLEX 4P MANUAL,KM 48607,2016/2016,"R$ 59.900,00"
VOLKSWAGEN FOX 1.6 MSI TOTAL FLEX CONNECT 4P MANUAL,KM 82982,2019/2020,"R$ 68.900,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX 4P MANUAL,KM 15003,2021/2022,"R$ 72.900,00"
VOLKSWAGEN AMAROK 3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,KM 54056,2020/2021,"R$ 289.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 29574,2021/2021,"R$ 129.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 35432,2020/2021,"R$ 129.900,00"
CHEVROLET TRACKER 1.0 TURBO FLEX LT AUTOMÁTICO,KM 57415,2020/2021,"R$ 111.900,00"
VOLKSWAGEN AMAROK 2.0 COMFORTLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,KM 119620,2018/2019,"R$ 169.900,00"
CITROEN AIRCROSS 1.6 FEEL 16V FLEX 4P AUTOMÁTICO,KM 101493,2016/2017,"R$ 64.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX MANUAL,KM 59328,2019/2020,"R$ 99.900,00"
RENAULT CAPTUR 1.6 16V SCE FLEX INTENSE X-TRONIC,KM 59514,2018/2019,"R$ 88.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX SENSE AUTOMÁTICO,KM 7325,2022/2022,"R$ 113.900,00"
VOLKSWAGEN FOX 1.0 MI 8V FLEX 4P MANUAL,KM 72970,2013/2014,"R$ 48.900,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO,KM 10762,2022/2022,"R$ 132.900,00"
HONDA FIT 1.5 LX 16V FLEX 4P AUTOMÁTICO,KM 69844,2018/2019,"R$ 84.900,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX 4P MANUAL,KM 65910,2020/2021,"R$ 57.900,00"
HYUNDAI HB20 1.6 R SPEC 16V FLEX 4P AUTOMÁTICO,KM 77900,2017/2017,"R$ 74.900,00"
FIAT TORO 1.8 16V EVO FLEX FREEDOM AT6,KM 46910,2018/2019,"R$ 101.500,00"
CITROEN AIRCROSS 1.6 VTI 120 FLEX LIVE MANUAL,KM 12744,2018/2019,"R$ 74.900,00"
JEEP COMPASS 2.0 16V DIESEL LONGITUDE 4X4 AUTOMÁTICO,KM 110017,2017/2017,"R$ 139.900,00"
VOLKSWAGEN POLO 1.0 200 TSI COMFORTLINE AUTOMÁTICO,KM 16889,2020/2021,"R$ 99.900,00"
VOLKSWAGEN VIRTUS 1.6 MSI TOTAL FLEX MANUAL,KM 76956,2019/2020,"R$ 79.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMÁTICO,KM 17352,2021/2021,"R$ 118.900,00"
VOLKSWAGEN VOYAGE 1.6 MSI TOTALFLEX 4P MANUAL,KM 51995,2018/2019,"R$ 62.900,00"
FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL,KM 73654,2019/2020,"R$ 64.900,00"
FORD KA 1.5 SIGMA FLEX SE MANUAL,KM 98500,2017/2018,"R$ 59.900,00"
HONDA FIT 1.5 EXL 16V FLEX 4P AUTOMÁTICO,KM 46717,2018/2018,"R$ 92.900,00"
TOYOTA YARIS 1.5 16V FLEX XLS CONNECT MULTIDRIVE,KM 36853,2020/2021,"R$ 103.900,00"
HYUNDAI HB20S 1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO,KM 87584,2017/2018,"R$ 76.900,00"
TOYOTA RAV4 2.0 4X2 16V GASOLINA 4P AUTOMÁTICO,KM 158344,2015/2015,"R$ 98.900,00"
FORD KA 1.0 TI-VCT FLEX SE PLUS SEDAN MANUAL,KM 76724,2019/2020,"R$ 62.900,00"
VOLKSWAGEN UP 1.0 170 TSI TOTAL FLEX CONNECT 4P MANUAL,KM 98968,2019/2020,"R$ 76.900,00"
VOLKSWAGEN AMAROK 2.0 COMFORTLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,KM 128634,2018/2019,"R$ 159.900,00"
NISSAN KICKS 1.6 16V FLEXSTART S 4P XTRONIC,KM 69867,2018/2018,"R$ 87.900,00"
RENAULT CAPTUR 1.6 16V SCE FLEX INTENSE X-TRONIC,KM 64097,2018/2019,"R$ 92.900,00"
VOLKSWAGEN PASSAT 2.0 16V TSI BLUEMOTION GASOLINA HIGHLINE 4P DSG,KM 100000,2018/2018,"R$ 162.900,00"
HYUNDAI HB20 1.0 12V FLEX EVOLUTION MANUAL,KM 10942,2020/2021,"R$ 79.900,00"
NISSAN KICKS 1.6 16V FLEXSTART SL 4P XTRONIC,KM 30619,2018/2019,"R$ 105.900,00"
VOLKSWAGEN AMAROK 3.0 V6 TDI DIESEL HIGHLINE CD 4MOTION AUTOMÁTICO,KM 81413,2019/2019,"R$ 220.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,KM 32004,2019/2020,"R$ 123.900,00"
HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL,KM 82224,2015/2016,"R$ 59.900,00"
CHEVROLET ONIX 1.4 MPFI LTZ 8V FLEX 4P MANUAL,KM 0,2015/2016,"R$ 63.900,00"
RENAULT KWID 1.0 12V SCE FLEX ZEN MANUAL,KM 20100,2021/2022,"R$ 61.900,00"
NISSAN FRONTIER 2.5 SV ATTACK 4X4 CD TURBO ELETRONIC DIESEL 4P AUTOMÁTICO,KM 109800,2015/2015,"R$ 126.900,00"
VOLKSWAGEN TAOS 1.4 250 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO,KM 33392,2021/2022,"R$ 172.900,00"
VOLKSWAGEN POLO 1.6 MSI TOTAL FLEX MANUAL,KM 47500,2019/2020,"R$ 75.900,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX AUTOMÁTICO,KM 55908,2019/2020,"R$ 119.900,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX 4P MANUAL,KM 76600,2020/2021,"R$ 62.900,00"
VOLKSWAGEN POLO 1.0 200 TSI SENSE AUTOMÁTICO,KM 117113,2019/2020,"R$ 89.900,00"
RENAULT KWID 1.0 12V SCE FLEX ZEN MANUAL,KM 43000,2020/2021,"R$ 54.900,00"
JEEP RENEGADE 1.8 16V FLEX LIMITED 4P AUTOMÁTICO,KM 90819,2019/2019,"R$ 104.900,00"
VOLKSWAGEN AMAROK 2.0 TRENDLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO,KM 98168,2017/2017,"R$ 154.900,00"
RENAULT SANDERO 1.6 16V SCE FLEX ZEN MANUAL,KM 51041,2020/2021,"R$ 69.900,00"
VOLKSWAGEN GOL 1.6 16V MSI TOTALFLEX 4P AUTOMÁTICO,KM 72968,2019/2020,"R$ 69.900,00"
HYUNDAI CRETA 2.0 16V FLEX PRESTIGE AUTOMÁTICO,KM 32430,2019/2020,"R$ 116.900,00"
